"Notes"	"Residence State"	"Residence State Code"	"Residence County"	"Residence County Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	% of Total Deaths
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2018"	"2018"	"55-64 years"	"55-64"	Suppressed	Suppressed
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2018"	"2018"	"65-74 years"	"65-74"	11	0.0%
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2018"	"2018"	"75-84 years"	"75-84"	20	0.0%
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2018"	"2018"	"85+ years"	"85+"	17	0.0%
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2018"	"2018"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2019"	"2019"	"< 1 year"	"1"	0	0.0%
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2019"	"2019"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2019"	"2019"	"5-14 years"	"5-14"	0	0.0%
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2019"	"2019"	"15-24 years"	"15-24"	Suppressed	Suppressed
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2019"	"2019"	"25-34 years"	"25-34"	0	0.0%
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2019"	"2019"	"35-44 years"	"35-44"	0	0.0%
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2019"	"2019"	"45-54 years"	"45-54"	Suppressed	Suppressed
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2019"	"2019"	"55-64 years"	"55-64"	11	0.0%
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2019"	"2019"	"65-74 years"	"65-74"	12	0.0%
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2019"	"2019"	"75-84 years"	"75-84"	14	0.0%
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2019"	"2019"	"85+ years"	"85+"	28	0.0%
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2019"	"2019"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2020"	"2020"	"< 1 year"	"1"	0	0.0%
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2020"	"2020"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2020"	"2020"	"5-14 years"	"5-14"	Suppressed	Suppressed
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2020"	"2020"	"15-24 years"	"15-24"	0	0.0%
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2020"	"2020"	"25-34 years"	"25-34"	Suppressed	Suppressed
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2020"	"2020"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2020"	"2020"	"45-54 years"	"45-54"	Suppressed	Suppressed
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2020"	"2020"	"55-64 years"	"55-64"	10	0.0%
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2020"	"2020"	"65-74 years"	"65-74"	14	0.0%
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2020"	"2020"	"75-84 years"	"75-84"	31	0.0%
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2020"	"2020"	"85+ years"	"85+"	27	0.0%
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2020"	"2020"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2021"	"2021"	"< 1 year"	"1"	0	0.0%
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2021"	"2021"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2021"	"2021"	"5-14 years"	"5-14"	0	0.0%
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2021"	"2021"	"15-24 years"	"15-24"	0	0.0%
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2021"	"2021"	"25-34 years"	"25-34"	Suppressed	Suppressed
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2021"	"2021"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2021"	"2021"	"45-54 years"	"45-54"	Suppressed	Suppressed
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2021"	"2021"	"55-64 years"	"55-64"	Suppressed	Suppressed
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2021"	"2021"	"65-74 years"	"65-74"	20	0.0%
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2021"	"2021"	"75-84 years"	"75-84"	21	0.0%
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2021"	"2021"	"85+ years"	"85+"	19	0.0%
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2021"	"2021"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2022"	"2022"	"< 1 year"	"1"	Suppressed	Suppressed
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2022"	"2022"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2022"	"2022"	"5-14 years"	"5-14"	Suppressed	Suppressed
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2022"	"2022"	"15-24 years"	"15-24"	Suppressed	Suppressed
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2022"	"2022"	"25-34 years"	"25-34"	0	0.0%
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2022"	"2022"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2022"	"2022"	"45-54 years"	"45-54"	Suppressed	Suppressed
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2022"	"2022"	"55-64 years"	"55-64"	Suppressed	Suppressed
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2022"	"2022"	"65-74 years"	"65-74"	13	0.0%
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2022"	"2022"	"75-84 years"	"75-84"	20	0.0%
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2022"	"2022"	"85+ years"	"85+"	21	0.0%
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2022"	"2022"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2023 (provisional)"	"2023"	"< 1 year"	"1"	0	0.0%
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2023 (provisional)"	"2023"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2023 (provisional)"	"2023"	"5-14 years"	"5-14"	Suppressed	Suppressed
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2023 (provisional)"	"2023"	"15-24 years"	"15-24"	0	0.0%
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2023 (provisional)"	"2023"	"25-34 years"	"25-34"	Suppressed	Suppressed
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2023 (provisional)"	"2023"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2023 (provisional)"	"2023"	"45-54 years"	"45-54"	Suppressed	Suppressed
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2023 (provisional)"	"2023"	"55-64 years"	"55-64"	Suppressed	Suppressed
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2023 (provisional)"	"2023"	"65-74 years"	"65-74"	15	0.0%
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2023 (provisional)"	"2023"	"75-84 years"	"75-84"	31	0.0%
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2023 (provisional)"	"2023"	"85+ years"	"85+"	25	0.0%
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2023 (provisional)"	"2023"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2024 (provisional and partial)"	"2024"	"< 1 year"	"1"	Suppressed	Suppressed
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2024 (provisional and partial)"	"2024"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2024 (provisional and partial)"	"2024"	"5-14 years"	"5-14"	0	0.0%
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2024 (provisional and partial)"	"2024"	"15-24 years"	"15-24"	Suppressed	Suppressed
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2024 (provisional and partial)"	"2024"	"25-34 years"	"25-34"	Suppressed	Suppressed
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2024 (provisional and partial)"	"2024"	"35-44 years"	"35-44"	0	0.0%
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2024 (provisional and partial)"	"2024"	"45-54 years"	"45-54"	Suppressed	Suppressed
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2024 (provisional and partial)"	"2024"	"55-64 years"	"55-64"	Suppressed	Suppressed
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2024 (provisional and partial)"	"2024"	"65-74 years"	"65-74"	Suppressed	Suppressed
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2024 (provisional and partial)"	"2024"	"75-84 years"	"75-84"	15	0.0%
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2024 (provisional and partial)"	"2024"	"85+ years"	"85+"	14	0.0%
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2024 (provisional and partial)"	"2024"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2018"	"2018"	"< 1 year"	"1"	Suppressed	Suppressed
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2018"	"2018"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2018"	"2018"	"5-14 years"	"5-14"	Suppressed	Suppressed
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2018"	"2018"	"15-24 years"	"15-24"	Suppressed	Suppressed
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2018"	"2018"	"25-34 years"	"25-34"	Suppressed	Suppressed
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2018"	"2018"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2018"	"2018"	"45-54 years"	"45-54"	11	0.0%
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2018"	"2018"	"55-64 years"	"55-64"	24	0.0%
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2018"	"2018"	"65-74 years"	"65-74"	42	0.0%
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2018"	"2018"	"75-84 years"	"75-84"	47	0.0%
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2018"	"2018"	"85+ years"	"85+"	75	0.1%
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2018"	"2018"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2019"	"2019"	"< 1 year"	"1"	Suppressed	Suppressed
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2019"	"2019"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2019"	"2019"	"5-14 years"	"5-14"	Suppressed	Suppressed
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2019"	"2019"	"15-24 years"	"15-24"	Suppressed	Suppressed
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2019"	"2019"	"25-34 years"	"25-34"	Suppressed	Suppressed
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2019"	"2019"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2019"	"2019"	"45-54 years"	"45-54"	Suppressed	Suppressed
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2019"	"2019"	"55-64 years"	"55-64"	37	0.0%
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2019"	"2019"	"65-74 years"	"65-74"	28	0.0%
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2019"	"2019"	"75-84 years"	"75-84"	51	0.0%
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2019"	"2019"	"85+ years"	"85+"	74	0.1%
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2019"	"2019"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2020"	"2020"	"< 1 year"	"1"	Suppressed	Suppressed
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2020"	"2020"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2020"	"2020"	"5-14 years"	"5-14"	Suppressed	Suppressed
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2020"	"2020"	"15-24 years"	"15-24"	Suppressed	Suppressed
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2020"	"2020"	"25-34 years"	"25-34"	0	0.0%
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2020"	"2020"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2020"	"2020"	"45-54 years"	"45-54"	10	0.0%
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2020"	"2020"	"55-64 years"	"55-64"	28	0.0%
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2020"	"2020"	"65-74 years"	"65-74"	49	0.0%
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2020"	"2020"	"75-84 years"	"75-84"	54	0.1%
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2020"	"2020"	"85+ years"	"85+"	73	0.1%
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2020"	"2020"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2021"	"2021"	"< 1 year"	"1"	Suppressed	Suppressed
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2021"	"2021"	"1-4 years"	"1-4"	Suppressed	Suppressed
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2021"	"2021"	"5-14 years"	"5-14"	Suppressed	Suppressed
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2021"	"2021"	"15-24 years"	"15-24"	Suppressed	Suppressed
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2021"	"2021"	"25-34 years"	"25-34"	Suppressed	Suppressed
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2021"	"2021"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2021"	"2021"	"45-54 years"	"45-54"	Suppressed	Suppressed
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2021"	"2021"	"55-64 years"	"55-64"	22	0.0%
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2021"	"2021"	"65-74 years"	"65-74"	51	0.0%
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2021"	"2021"	"75-84 years"	"75-84"	59	0.1%
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2021"	"2021"	"85+ years"	"85+"	71	0.1%
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2021"	"2021"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2022"	"2022"	"< 1 year"	"1"	Suppressed	Suppressed
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2022"	"2022"	"1-4 years"	"1-4"	Suppressed	Suppressed
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2022"	"2022"	"5-14 years"	"5-14"	Suppressed	Suppressed
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2022"	"2022"	"15-24 years"	"15-24"	Suppressed	Suppressed
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2022"	"2022"	"25-34 years"	"25-34"	Suppressed	Suppressed
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2022"	"2022"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2022"	"2022"	"45-54 years"	"45-54"	Suppressed	Suppressed
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2022"	"2022"	"55-64 years"	"55-64"	22	0.0%
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2022"	"2022"	"65-74 years"	"65-74"	43	0.0%
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2022"	"2022"	"75-84 years"	"75-84"	61	0.1%
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2022"	"2022"	"85+ years"	"85+"	84	0.1%
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2022"	"2022"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2023 (provisional)"	"2023"	"< 1 year"	"1"	0	0.0%
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2023 (provisional)"	"2023"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2023 (provisional)"	"2023"	"5-14 years"	"5-14"	Suppressed	Suppressed
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2023 (provisional)"	"2023"	"15-24 years"	"15-24"	Suppressed	Suppressed
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2023 (provisional)"	"2023"	"25-34 years"	"25-34"	Suppressed	Suppressed
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2023 (provisional)"	"2023"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2023 (provisional)"	"2023"	"45-54 years"	"45-54"	10	0.0%
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2023 (provisional)"	"2023"	"55-64 years"	"55-64"	22	0.0%
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2023 (provisional)"	"2023"	"65-74 years"	"65-74"	45	0.0%
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2023 (provisional)"	"2023"	"75-84 years"	"75-84"	68	0.1%
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2023 (provisional)"	"2023"	"85+ years"	"85+"	73	0.1%
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2023 (provisional)"	"2023"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2024 (provisional and partial)"	"2024"	"< 1 year"	"1"	Suppressed	Suppressed
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2024 (provisional and partial)"	"2024"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2024 (provisional and partial)"	"2024"	"5-14 years"	"5-14"	0	0.0%
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2024 (provisional and partial)"	"2024"	"15-24 years"	"15-24"	Suppressed	Suppressed
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2024 (provisional and partial)"	"2024"	"25-34 years"	"25-34"	Suppressed	Suppressed
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2024 (provisional and partial)"	"2024"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2024 (provisional and partial)"	"2024"	"45-54 years"	"45-54"	Suppressed	Suppressed
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2024 (provisional and partial)"	"2024"	"55-64 years"	"55-64"	12	0.0%
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2024 (provisional and partial)"	"2024"	"65-74 years"	"65-74"	23	0.0%
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2024 (provisional and partial)"	"2024"	"75-84 years"	"75-84"	31	0.0%
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2024 (provisional and partial)"	"2024"	"85+ years"	"85+"	23	0.0%
	"Idaho"	"16"	"Cassia County, ID"	"16031"	"2024 (provisional and partial)"	"2024"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2018"	"2018"	"< 1 year"	"1"	0	0.0%
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2018"	"2018"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2018"	"2018"	"5-14 years"	"5-14"	0	0.0%
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2018"	"2018"	"15-24 years"	"15-24"	0	0.0%
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2018"	"2018"	"25-34 years"	"25-34"	0	0.0%
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2018"	"2018"	"35-44 years"	"35-44"	0	0.0%
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2018"	"2018"	"45-54 years"	"45-54"	Suppressed	Suppressed
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2018"	"2018"	"55-64 years"	"55-64"	0	0.0%
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2018"	"2018"	"65-74 years"	"65-74"	0	0.0%
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2018"	"2018"	"75-84 years"	"75-84"	Suppressed	Suppressed
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2018"	"2018"	"85+ years"	"85+"	Suppressed	Suppressed
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2018"	"2018"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2019"	"2019"	"< 1 year"	"1"	0	0.0%
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2019"	"2019"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2019"	"2019"	"5-14 years"	"5-14"	0	0.0%
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2019"	"2019"	"15-24 years"	"15-24"	0	0.0%
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2019"	"2019"	"25-34 years"	"25-34"	0	0.0%
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2019"	"2019"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2019"	"2019"	"45-54 years"	"45-54"	0	0.0%
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2019"	"2019"	"55-64 years"	"55-64"	Suppressed	Suppressed
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2019"	"2019"	"65-74 years"	"65-74"	0	0.0%
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2019"	"2019"	"75-84 years"	"75-84"	Suppressed	Suppressed
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2019"	"2019"	"85+ years"	"85+"	Suppressed	Suppressed
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2019"	"2019"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2020"	"2020"	"< 1 year"	"1"	0	0.0%
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2020"	"2020"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2020"	"2020"	"5-14 years"	"5-14"	0	0.0%
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2020"	"2020"	"15-24 years"	"15-24"	0	0.0%
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2020"	"2020"	"25-34 years"	"25-34"	0	0.0%
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2020"	"2020"	"35-44 years"	"35-44"	0	0.0%
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2020"	"2020"	"45-54 years"	"45-54"	0	0.0%
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2020"	"2020"	"55-64 years"	"55-64"	0	0.0%
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2020"	"2020"	"65-74 years"	"65-74"	Suppressed	Suppressed
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2020"	"2020"	"75-84 years"	"75-84"	Suppressed	Suppressed
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2020"	"2020"	"85+ years"	"85+"	Suppressed	Suppressed
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2020"	"2020"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2021"	"2021"	"< 1 year"	"1"	0	0.0%
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2021"	"2021"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2021"	"2021"	"5-14 years"	"5-14"	0	0.0%
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2021"	"2021"	"15-24 years"	"15-24"	0	0.0%
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2021"	"2021"	"25-34 years"	"25-34"	0	0.0%
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2021"	"2021"	"35-44 years"	"35-44"	0	0.0%
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2021"	"2021"	"45-54 years"	"45-54"	0	0.0%
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2021"	"2021"	"55-64 years"	"55-64"	Suppressed	Suppressed
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2021"	"2021"	"65-74 years"	"65-74"	Suppressed	Suppressed
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2021"	"2021"	"75-84 years"	"75-84"	Suppressed	Suppressed
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2021"	"2021"	"85+ years"	"85+"	Suppressed	Suppressed
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2021"	"2021"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2022"	"2022"	"< 1 year"	"1"	0	0.0%
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2022"	"2022"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2022"	"2022"	"5-14 years"	"5-14"	Suppressed	Suppressed
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2022"	"2022"	"15-24 years"	"15-24"	0	0.0%
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2022"	"2022"	"25-34 years"	"25-34"	0	0.0%
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2022"	"2022"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2022"	"2022"	"45-54 years"	"45-54"	0	0.0%
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2022"	"2022"	"55-64 years"	"55-64"	Suppressed	Suppressed
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2022"	"2022"	"65-74 years"	"65-74"	0	0.0%
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2022"	"2022"	"75-84 years"	"75-84"	Suppressed	Suppressed
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2022"	"2022"	"85+ years"	"85+"	Suppressed	Suppressed
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2022"	"2022"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2023 (provisional)"	"2023"	"< 1 year"	"1"	0	0.0%
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2023 (provisional)"	"2023"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Clark County, ID"	"16033"	"2023 (provisional)"	"2023"	"5-14 years"	"5-14"	0	0.0%
